year,month,borough,major_category,minor_category,total_crimes
2012,5,Brent,Violence Against the Person,Murder,1
2012,8,Lambeth,Violence Against the Person,Murder,1
2012,2,Lewisham,Violence Against the Person,Murder,1
2012,10,Hounslow,Violence Against the Person,Murder,1
2013,1,Lambeth,Violence Against the Person,Murder,2
2013,3,Westminster,Violence Against the Person,Murder,2
2013,5,Lewisham,Violence Against the Person,Murder,1
2014,3,Islington,Violence Against the Person,Murder,1
2016,8,Islington,Violence Against the Person,Murder,1
2011,4,Brent,Violence Against the Person,Harassment,155
2011,9,Brent,Violence Against the Person,Harassment,197
2011,6,Barnet,Violence Against the Person,Harassment,120
2011,2,Bexley,Violence Against the Person,Harassment,73
2011,9,Camden,Violence Against the Person,Harassment,130
2011,7,Ealing,Violence Against the Person,Harassment,167
2011,5,Ealing,Violence Against the Person,Harassment,173
2011,8,Ealing,Violence Against the Person,Harassment,185
2011,11,Barnet,Violence Against the Person,Harassment,111
2011,5,Barnet,Violence Against the Person,Harassment,102
2011,4,Camden,Violence Against the Person,Harassment,116
2011,2,Camden,Violence Against the Person,Harassment,123
2011,11,Ealing,Violence Against the Person,Harassment,145
2011,2,Brent,Violence Against the Person,Harassment,145
2011,7,Barnet,Violence Against the Person,Harassment,98
2011,9,Bexley,Violence Against the Person,Harassment,57
2011,4,Bexley,Violence Against the Person,Harassment,63
2011,6,Ealing,Violence Against the Person,Harassment,214
2011,8,Barnet,Violence Against the Person,Harassment,93
2011,12,Harrow,Violence Against the Person,Harassment,77
2011,8,Merton,Violence Against the Person,Harassment,56
2011,11,Merton,Violence Against the Person,Harassment,56
2011,7,Merton,Violence Against the Person,Harassment,61
2011,6,Newham,Violence Against the Person,Harassment,103
2011,7,Newham,Violence Against the Person,Harassment,119
2011,11,Newham,Violence Against the Person,Harassment,127
2011,8,Newham,Violence Against the Person,Harassment,146
2011,11,Sutton,Violence Against the Person,Harassment,39
2011,2,Bromley,Violence Against the Person,Harassment,133
2011,4,Bromley,Violence Against the Person,Harassment,114
2011,5,Sutton,Violence Against the Person,Harassment,33
2011,9,Bromley,Violence Against the Person,Harassment,117
2011,5,Merton,Violence Against the Person,Harassment,39
2011,7,Sutton,Violence Against the Person,Harassment,51
2011,6,Merton,Violence Against the Person,Harassment,59
2011,5,Newham,Violence Against the Person,Harassment,108
2011,12,Croydon,Violence Against the Person,Harassment,105
2011,6,Hackney,Violence Against the Person,Harassment,79
2011,2,Lambeth,Violence Against the Person,Harassment,100
2011,4,Lambeth,Violence Against the Person,Harassment,131
2011,1,Enfield,Violence Against the Person,Harassment,71
2011,3,Enfield,Violence Against the Person,Harassment,75
2011,10,Enfield,Violence Against the Person,Harassment,52
2011,11,Hackney,Violence Against the Person,Harassment,97
2011,6,Sutton,Violence Against the Person,Harassment,29
2011,8,Hackney,Violence Against the Person,Harassment,85
2011,5,Hackney,Violence Against the Person,Harassment,100
2011,9,Lambeth,Violence Against the Person,Harassment,146
2011,10,Haringey,Violence Against the Person,Harassment,87
2011,1,Haringey,Violence Against the Person,Harassment,70
2011,8,Hounslow,Violence Against the Person,Harassment,116
2011,7,Hounslow,Violence Against the Person,Harassment,106
2011,1,Greenwich,Violence Against the Person,Harassment,56
2011,3,Greenwich,Violence Against the Person,Harassment,73
2011,5,Hounslow,Violence Against the Person,Harassment,137
2011,11,Hounslow,Violence Against the Person,Harassment,119
2011,6,Hounslow,Violence Against the Person,Harassment,115
2011,12,Lewisham,Violence Against the Person,Harassment,140
2011,10,Greenwich,Violence Against the Person,Harassment,96
2011,12,Havering,Violence Against the Person,Harassment,51
2011,4,Islington,Violence Against the Person,Harassment,163
2011,10,Redbridge,Violence Against the Person,Harassment,79
2011,7,Southwark,Violence Against the Person,Harassment,106
2011,11,Southwark,Violence Against the Person,Harassment,115
2011,8,Wandsworth,Violence Against the Person,Harassment,64
2011,6,Wandsworth,Violence Against the Person,Harassment,94
2011,1,Redbridge,Violence Against the Person,Harassment,86
2011,3,Redbridge,Violence Against the Person,Harassment,96
2011,8,Southwark,Violence Against the Person,Harassment,123
2011,3,Hillingdon,Violence Against the Person,Harassment,141
2011,1,Hillingdon,Violence Against the Person,Harassment,126
2011,7,Wandsworth,Violence Against the Person,Harassment,86
2011,11,Wandsworth,Violence Against the Person,Harassment,73
2011,5,Wandsworth,Violence Against the Person,Harassment,62
2011,3,Haringey,Violence Against the Person,Harassment,48
2011,10,Hillingdon,Violence Against the Person,Harassment,162
2011,9,Islington,Violence Against the Person,Harassment,116
2011,2,Islington,Violence Against the Person,Harassment,134
2011,7,Tower Hamlets,Violence Against the Person,Harassment,134
2011,4,Westminster,Violence Against the Person,Harassment,162
2011,5,Tower Hamlets,Violence Against the Person,Harassment,125
2011,11,Tower Hamlets,Violence Against the Person,Harassment,130
2011,10,Waltham Forest,Violence Against the Person,Harassment,111
2011,1,Waltham Forest,Violence Against the Person,Harassment,141
